Job Category,Region,Country,Year,Month/Year,Job Count,City,Job Type,,1),"Modify  column names as I changed: Job Category, Region",
Data & Analytics,Arkansas,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Arkansas,USA,2025,25-Feb,4,,,,,,
Data & Analytics,Arkansas,USA,2025,25-Jan,2,,,,,,
Data & Analytics,Arkansas,USA,2025,25-Mar,7,,,,,,
Data & Analytics,British Columbia,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,British Columbia,Canada,2024,24-Dec,1,,,,,,
Data & Analytics,British Columbia,Canada,2024,24-Oct,1,,,,,,
Data & Analytics,British Columbia,Canada,2024,24-Sep,1,,,,,,
Data & Analytics,British Columbia,Canada,2025,25-Feb,8,,,,,,
Data & Analytics,British Columbia,Canada,2025,25-Jan,2,,,,,,
Data & Analytics,British Columbia,Canada,2025,25-Mar,5,,,,,,
Data & Analytics,California,USA,2023,23-Oct,2,,,,,,
Data & Analytics,California,USA,2023,23-Sep,3,,,,,,
Data & Analytics,California,USA,2024,24-Apr,2,,,,,,
Data & Analytics,California,USA,2024,24-Aug,2,,,,,,
Data & Analytics,California,USA,2024,24-Dec,32,,,,,,
Data & Analytics,California,USA,2024,24-Jul,1,,,,,,
Data & Analytics,California,USA,2024,24-Jun,1,,,,,,
Data & Analytics,California,USA,2024,24-Nov,19,,,,,,
Data & Analytics,California,USA,2024,24-Oct,22,,,,,,
Data & Analytics,California,USA,2024,24-Sep,7,,,,,,
Data & Analytics,California,USA,2025,25-Apr,88,,,,,,
Data & Analytics,California,USA,2025,25-Feb,99,,,,,,
Data & Analytics,California,USA,2025,25-Jan,37,,,,,,
Data & Analytics,California,USA,2025,25-Mar,148,,,,,,
Data & Analytics,California,USA,2024,24-Oct,1,,,,,,
Data & Analytics,Not Specific,Canada,2024,24-Oct,1,,,,,,
Data & Analytics,Not Specific,Canada,2025,25-Apr,1,,,,,,
Data & Analytics,Not Specific,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,Not Specific,Canada,2025,25-Jan,2,,,,,,
Data & Analytics,Not Specific,Canada,2025,25-Mar,3,,,,,,
Data & Analytics,Colorado,USA,2024,24-Dec,2,,,,,,
Data & Analytics,Colorado,USA,2025,25-Apr,19,,,,,,
Data & Analytics,Colorado,USA,2025,25-Feb,9,,,,,,
Data & Analytics,Colorado,USA,2025,25-Jan,1,,,,,,
Data & Analytics,Colorado,USA,2025,25-Mar,10,,,,,,
Data & Analytics,Connecticut,USA,2024,24-Dec,1,,,,,,
Data & Analytics,Connecticut,USA,2025,25-Apr,2,,,,,,
Data & Analytics,Connecticut,USA,2025,25-Feb,4,,,,,,
Data & Analytics,Connecticut,USA,2025,25-Mar,9,,,,,,
Data & Analytics,D.C.,USA,2025,25-Apr,2,,,,,,
Data & Analytics,D.C.,USA,2025,25-Feb,1,,,,,,
Data & Analytics,D.C.,USA,2025,25-Mar,1,,,,,,
Data & Analytics,D.C.,USA,2024,24-Dec,1,,,,,,
Data & Analytics,D.C.,USA,2024,24-Sep,1,,,,,,
Data & Analytics,D.C.,USA,2025,25-Apr,4,,,,,,
Data & Analytics,D.C.,USA,2025,25-Feb,5,,,,,,
Data & Analytics,D.C.,USA,2025,25-Mar,2,,,,,,
Data & Analytics,Delaware,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Delaware,USA,2025,25-Feb,4,,,,,,
Data & Analytics,Delaware,USA,2025,25-Mar,1,,,,,,
Data & Analytics,District of Columbia,USA,2024,24-Nov,1,,,,,,
Data & Analytics,District of Columbia,USA,2025,25-Apr,5,,,,,,
Data & Analytics,District of Columbia,USA,2025,25-Feb,3,,,,,,
Data & Analytics,District of Columbia,USA,2025,25-Jan,2,,,,,,
Data & Analytics,District of Columbia,USA,2025,25-Mar,2,,,,,,
Data & Analytics,England,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,England,UK,2025,25-Mar,1,,,,,,
Data & Analytics,Florida,USA,2024,24-Dec,1,,,,,,
Data & Analytics,Florida,USA,2024,24-Oct,2,,,,,,
Data & Analytics,Florida,USA,2025,25-Apr,7,,,,,,
Data & Analytics,Florida,USA,2025,25-Feb,18,,,,,,
Data & Analytics,Florida,USA,2025,25-Jan,4,,,,,,
Data & Analytics,Florida,USA,2025,25-Mar,23,,,,,,
Data & Analytics,Georgia,USA,2024,24-Dec,2,,,,,,
Data & Analytics,Georgia,USA,2024,24-Oct,2,,,,,,
Data & Analytics,Georgia,USA,2025,25-Apr,12,,,,,,
Data & Analytics,Georgia,USA,2025,25-Feb,6,,,,,,
Data & Analytics,Georgia,USA,2025,25-Jan,3,,,,,,
Data & Analytics,Georgia,USA,2025,25-Mar,11,,,,,,
Data & Analytics,Grayson,USA,2025,25-Mar,1,,,,,,
Data & Analytics,Haifa,Haifa,2025,25-Jan,1,,,,,,
Data & Analytics,Hawaii,USA,2025,25-Mar,3,,,,,,
Data & Analytics,Idaho,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Idaho,USA,2025,25-Feb,4,,,,,,
Data & Analytics,Illinois,USA,2023,23-Jan,2,,,,,,
Data & Analytics,Illinois,USA,2024,24-Dec,5,,,,,,
Data & Analytics,Illinois,USA,2024,24-Jul,1,,,,,,
Data & Analytics,Illinois,USA,2024,24-Nov,2,,,,,,
Data & Analytics,Illinois,USA,2024,24-Oct,5,,,,,,
Data & Analytics,Illinois,USA,2025,25-Apr,18,,,,,,
Data & Analytics,Illinois,USA,2025,25-Feb,25,,,,,,
Data & Analytics,Illinois,USA,2025,25-Jan,8,,,,,,
Data & Analytics,Illinois,USA,2025,25-Mar,54,,,,,,
Data & Analytics,Indiana,USA,2024,24-Oct,1,,,,,,
Data & Analytics,Indiana,USA,2025,25-Apr,8,,,,,,
Data & Analytics,Indiana,USA,2025,25-Feb,1,,,,,,
Data & Analytics,Indiana,USA,2025,25-Mar,7,,,,,,
Data & Analytics,Iowa,USA,2025,25-Apr,5,,,,,,
Data & Analytics,Iowa,USA,2025,25-Feb,3,,,,,,
Data & Analytics,Iowa,USA,2025,25-Mar,11,,,,,,
Data & Analytics,Kansas,USA,2025,25-Apr,2,,,,,,
Data & Analytics,Kansas,USA,2025,25-Mar,5,,,,,,
Data & Analytics,Kentucky,USA,2025,25-Apr,2,,,,,,
Data & Analytics,Kentucky,USA,2025,25-Feb,4,,,,,,
Data & Analytics,Kentucky,USA,2025,25-Jan,2,,,,,,
Data & Analytics,Kentucky,USA,2025,25-Mar,2,,,,,,
Data & Analytics,Louisiana,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Louisiana,USA,2025,25-Feb,2,,,,,,
Data & Analytics,Louisiana,USA,2025,25-Mar,5,,,,,,
Data & Analytics,Maine,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Maine,USA,2025,25-Feb,3,,,,,,
Data & Analytics,Maine,USA,2025,25-Jan,3,,,,,,
Data & Analytics,Maine,USA,2025,25-Mar,3,,,,,,
Data & Analytics,Manitoba,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,Manitoba,Canada,2025,25-Mar,4,,,,,,
Data & Analytics,Maryland,USA,2024,24-Jul,1,,,,,,
Data & Analytics,Maryland,USA,2024,24-Nov,1,,,,,,
Data & Analytics,Maryland,USA,2025,25-Apr,4,,,,,,
Data & Analytics,Maryland,USA,2025,25-Feb,5,,,,,,
Data & Analytics,Maryland,USA,2025,25-Jan,1,,,,,,
Data & Analytics,Maryland,USA,2025,25-Mar,9,,,,,,
Data & Analytics,Massachusetts,USA,2023,23-Sep,1,,,,,,
Data & Analytics,Massachusetts,USA,2024,24-Dec,9,,,,,,
Data & Analytics,Massachusetts,USA,2024,24-Nov,1,,,,,,
Data & Analytics,Massachusetts,USA,2024,24-Oct,12,,,,,,
Data & Analytics,Massachusetts,USA,2024,24-Sep,3,,,,,,
Data & Analytics,Massachusetts,USA,2025,25-Apr,18,,,,,,
Data & Analytics,Massachusetts,USA,2025,25-Feb,35,,,,,,
Data & Analytics,Massachusetts,USA,2025,25-Jan,23,,,,,,
Data & Analytics,Massachusetts,USA,2025,25-Mar,44,,,,,,
Data & Analytics,Michigan,USA,2024,24-Dec,3,,,,,,
Data & Analytics,Michigan,USA,2024,24-Nov,1,,,,,,
Data & Analytics,Michigan,USA,2024,24-Sep,1,,,,,,
Data & Analytics,Michigan,USA,2025,25-Apr,10,,,,,,
Data & Analytics,Michigan,USA,2025,25-Feb,15,,,,,,
Data & Analytics,Michigan,USA,2025,25-Jan,2,,,,,,
Data & Analytics,Michigan,USA,2025,25-Mar,22,,,,,,
Data & Analytics,Minnesota,USA,2024,24-Dec,3,,,,,,
Data & Analytics,Minnesota,USA,2024,24-Nov,1,,,,,,
Data & Analytics,Minnesota,USA,2025,25-Apr,12,,,,,,
Data & Analytics,Minnesota,USA,2025,25-Feb,5,,,,,,
Data & Analytics,Minnesota,USA,2025,25-Jan,1,,,,,,
Data & Analytics,Minnesota,USA,2025,25-Mar,13,,,,,,
Data & Analytics,Mississippi,USA,2024,24-Oct,1,,,,,,
Data & Analytics,Mississippi,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Mississippi,USA,2025,25-Mar,1,,,,,,
Data & Analytics,Missouri,USA,2024,24-Nov,1,,,,,,
Data & Analytics,Missouri,USA,2025,25-Apr,5,,,,,,
Data & Analytics,Missouri,USA,2025,25-Feb,7,,,,,,
Data & Analytics,Missouri,USA,2025,25-Jan,5,,,,,,
Data & Analytics,Missouri,USA,2025,25-Mar,11,,,,,,
Data & Analytics,New Hampshire,USA,2025,25-Feb,1,,,,,,
Data & Analytics,Nebraska,USA,2025,25-Apr,2,,,,,,
Data & Analytics,Nebraska,USA,2025,25-Feb,4,,,,,,
Data & Analytics,Nebraska,USA,2025,25-Mar,4,,,,,,
Data & Analytics,Nevada,USA,2024,24-Dec,1,,,,,,
Data & Analytics,Nevada,USA,2024,24-Nov,9,,,,,,
Data & Analytics,Nevada,USA,2025,25-Jan,1,,,,,,
Data & Analytics,Nevada,USA,2025,25-Mar,1,,,,,,
Data & Analytics,New Brunswick,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,New Brunswick,Canada,2025,25-Mar,1,,,,,,
Data & Analytics,New Hampshire,USA,2024,24-Dec,1,,,,,,
Data & Analytics,New Hampshire,USA,2025,25-Apr,2,,,,,,
Data & Analytics,New Hampshire,USA,2025,25-Feb,3,,,,,,
Data & Analytics,New Hampshire,USA,2025,25-Mar,1,,,,,,
Data & Analytics,New Jersey,USA,2024,24-Dec,2,,,,,,
Data & Analytics,New Jersey,USA,2024,24-Oct,1,,,,,,
Data & Analytics,New Jersey,USA,2025,25-Apr,14,,,,,,
Data & Analytics,New Jersey,USA,2025,25-Feb,14,,,,,,
Data & Analytics,New Jersey,USA,2025,25-Jan,4,,,,,,
Data & Analytics,New Jersey,USA,2025,25-Mar,31,,,,,,
Data & Analytics,New Mexico,USA,2025,25-Feb,1,,,,,,
Data & Analytics,New Mexico,USA,2025,25-Jan,1,,,,,,
Data & Analytics,New York,USA,2023,23-Mar,1,,,,,,
Data & Analytics,New York,USA,2024,24-Dec,4,,,,,,
Data & Analytics,New York,USA,2024,24-Nov,5,,,,,,
Data & Analytics,New York,USA,2024,24-Oct,8,,,,,,
Data & Analytics,New York,USA,2024,24-Sep,1,,,,,,
Data & Analytics,New York,USA,2025,25-Apr,47,,,,,,
Data & Analytics,New York,USA,2025,25-Feb,21,,,,,,
Data & Analytics,New York,USA,2025,25-Jan,15,,,,,,
Data & Analytics,New York,USA,2025,25-Mar,56,,,,,,
Data & Analytics,North Carolina,USA,2024,24-Dec,2,,,,,,
Data & Analytics,North Carolina,USA,2024,24-Nov,2,,,,,,
Data & Analytics,North Carolina,USA,2024,24-Oct,1,,,,,,
Data & Analytics,North Carolina,USA,2025,25-Apr,5,,,,,,
Data & Analytics,North Carolina,USA,2025,25-Feb,9,,,,,,
Data & Analytics,North Carolina,USA,2025,25-Jan,5,,,,,,
Data & Analytics,North Carolina,USA,2025,25-Mar,20,,,,,,
Data & Analytics,North Dakota,USA,2024,24-Nov,1,,,,,,
Data & Analytics,Nova Scotia,Canada,2025,25-Apr,3,,,,,,
Data & Analytics,Nova Scotia,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,Nova Scotia,Canada,2025,25-Mar,1,,,,,,
Data & Analytics,Ohio,USA,2024,24-Dec,2,,,,,,
Data & Analytics,Ohio,USA,2024,24-Nov,6,,,,,,
Data & Analytics,Ohio,USA,2024,24-Oct,1,,,,,,
Data & Analytics,Ohio,USA,2025,25-Apr,8,,,,,,
Data & Analytics,Ohio,USA,2025,25-Feb,11,,,,,,
Data & Analytics,Ohio,USA,2025,25-Jan,1,,,,,,
Data & Analytics,Ohio,USA,2025,25-Mar,23,,,,,,
Data & Analytics,Oklahoma,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Oklahoma,USA,2025,25-Feb,1,,,,,,
Data & Analytics,Oklahoma,USA,2025,25-Mar,1,,,,,,
Data & Analytics,Ontario,Canada,2022,22-Dec,1,,,,,,
Data & Analytics,Ontario,Canada,2023,23-Mar,1,,,,,,
Data & Analytics,Ontario,Canada,2024,24-Dec,10,,,,,,
Data & Analytics,Ontario,Canada,2024,24-Feb,1,,,,,,
Data & Analytics,Ontario,Canada,2024,24-Nov,1,,,,,,
Data & Analytics,Ontario,Canada,2024,24-Oct,2,,,,,,
Data & Analytics,Ontario,Canada,2024,24-Sep,1,,,,,,
Data & Analytics,Ontario,Canada,2025,25-Apr,28,,,,,,
Data & Analytics,Ontario,Canada,2025,25-Feb,45,,,,,,
Data & Analytics,Ontario,Canada,2025,25-Jan,12,,,,,,
Data & Analytics,Ontario,Canada,2025,25-Mar,87,,,,,,
Data & Analytics,Ontario,Canada,2025,25-Feb,2,,,,,,
Data & Analytics,Oregon,USA,2025,25-Feb,2,,,,,,
Data & Analytics,Oregon,USA,2025,25-Jan,3,,,,,,
Data & Analytics,Oregon,USA,2025,25-Mar,3,,,,,,
Data & Analytics,Pennsylvania,USA,2024,24-Dec,3,,,,,,
Data & Analytics,Pennsylvania,USA,2024,24-Mar,2,,,,,,
Data & Analytics,Pennsylvania,USA,2024,24-Nov,2,,,,,,
Data & Analytics,Pennsylvania,USA,2024,24-Oct,2,,,,,,
Data & Analytics,Pennsylvania,USA,2024,24-Sep,2,,,,,,
Data & Analytics,Pennsylvania,USA,2025,25-Apr,19,,,,,,
Data & Analytics,Pennsylvania,USA,2025,25-Feb,20,,,,,,
Data & Analytics,Pennsylvania,USA,2025,25-Jan,6,,,,,,
Data & Analytics,Pennsylvania,USA,2025,25-Mar,40,,,,,,
Data & Analytics,Puerto Rico,USA,2025,25-Feb,1,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Mar,1,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,Quebec,Canada,2024,24-Dec,3,,,,,,
Data & Analytics,Quebec,Canada,2024,24-Nov,1,,,,,,
Data & Analytics,Quebec,Canada,2024,24-Oct,1,,,,,,
Data & Analytics,Quebec,Canada,2024,24-Sep,1,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Apr,6,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Feb,32,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Jan,7,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Mar,43,,,,,,
Data & Analytics,Quebec,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,Rhode Island,USA,2025,25-Apr,1,,,,,,
Data & Analytics,Saskatchewan,Canada,2025,25-Apr,4,,,,,,
Data & Analytics,Saskatchewan,Canada,2025,25-Feb,1,,,,,,
Data & Analytics,Saskatchewan,Canada,2025,25-Mar,1,,,,,,
Data & Analytics,South Carolina,USA,2025,25-Apr,2,,,,,,
Data & Analytics,South Carolina,USA,2025,25-Mar,5,,,,,,
Data & Analytics,South Dakota,USA,2025,25-Apr,1,,,,,,
Data & Analytics,South Dakota,USA,2025,25-Mar,4,,,,,,
Data & Analytics,Tennessee,USA,2024,24-Dec,1,,,,,,
Data & Analytics,Tennessee,USA,2024,24-Nov,2,,,,,,
Data & Analytics,Tennessee,USA,2024,24-Oct,1,,,,,,
Data & Analytics,Tennessee,USA,2025,25-Apr,9,,,,,,
Data & Analytics,Tennessee,USA,2025,25-Feb,3,,,,,,
Data & Analytics,Tennessee,USA,2025,25-Mar,10,,,,,,
Data & Analytics,Texas,USA,2024,24-Dec,4,,,,,,
