Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
79,Bachelor?€?s,Figma,"Strong communication skills, Ability to work well in a collaborative environment",None,A foundational understanding of UX design principles,None
80,None,"Java, SQL, JavaScript frameworks","Ability to learn and adapt new skills and technologies, Strong problem-solving skills",None,Familiarity with Agile methodologies,None
81,Bachelor?€?s,Programming and data analysis tools,"Strong analytical and problem-solving skills, Ability to work in a team-oriented environment",None,Experience with programming and data analysis tools,None
82,None,None,"Strong written, verbal, and interpersonal communication skills, Ability to manage time, Adept at independent problem-solving",None,None,None
83,Bachelor?€?s,None,"Excellent presentation skills, Strong attention to detail, Ability to work collaboratively",None,"Some experience in content creation, writing, and strategic communications",None
84,2-year degree,None,"Positive attitude, Desire to work as a team player",None,None,None
85,"Bachelor?€?s, Master?€?s",None,"Proven team involvement and leadership skills, Solid computer, strategy, communication, organization, and time management skills",None,None,None
86,Bachelor?€?s,MS Office,"Excellent problem solving skills, Strong verbal and written communication skills",None,1-2 years of experience in an analytical or technical role,1-2 years
87,Bachelor?€?s,"MS Office Suite (Word, Excel, PowerPoint)",Strong written and verbal communication skills,None,Strong technical aptitude for new tools and technologies,None
88,"Master?€?s, PhD","Python, PyTorch, JAX",None,None,"Publications or experience in CS, ML, Computational Biology, Experience with generative models, NLP",None
89,MBA,SQL,Excellent written and oral communication skills,None,3-5 years of professional experience in relevant fields,3-5 years
90,Bachelor?€?s,Excel,Excellent communication skills,None,"Retail math, Data analytics",None
91,Undergraduate or Graduate,"Python, Matlab, Robot Operating System (ROS)",None,None,"Experience with mechatronics and robotics fundamentals, Experience with Robot Operating System (ROS)",None
92,Bachelor's,None,"Strong safety behavior, Good collaborative and teamwork skills",None,None,None
93,None,None,None,None,None,None
94,None,"VBA, Python, Solid Edge, Solid Works, AutoCAD",None,None,Some experience working with machines,None
95,None,None,"High degree of initiative and energy, Ability to work with staff across departments in a spirit of teamwork and cooperation, Strong oral communication skills, Demonstrated ability to write clearly",None,"Experience in working with elementary, middle and high school students",None
96,Bachelor's,None,"Excellent communication skills, Strong attention to detail, Ability to work independently and collaboratively as part of a team",None,None,None
97,Bachelor's,None,Excellent verbal and written communication skills,None,1-2 years of research experience in academic or industrial laboratory setting preferred,1-2 years
98,High School Diploma or GED,None,None,None,None,None
99,None,Kroll software,"Positive attitude, strong work ethic, and willingness to learn, Excellent oral and written communication and teamwork skills, Attention to detail, Ability to problem solve and make decisions",None,None,None
100,Bachelor's,None,"Effective communication and ability to synthesize complex concepts for various audiences, Data and detail-oriented decision-making, Adaptable, dependable, and dedicated to your products and team",None,None,None
101,None,None,None,None,None,None
102,None,None,None,None,None,None
103,Master's or PhD,"TensorFlow, PyTorch, Python, R",None,None,"Experience in software development and strong coding skills, Hands-on skills in large-scale computing",None
104,BS,Microsoft Office Suite,"Strong analytical and problem-solving skills, Excellent organizational, oral and written communication skills",None,None,None
105,Bachelor's,Microsoft Office,"Strong communication, time-management, and problem-solving skills, Ability to work well independently and cross-functionally as part of a team, Strong organization skills and attention to detail",None,None,None
106,None,"Word, Excel, PowerPoint, Outlook","Strong critical thinker who is also a self-starter, Excellent communication and writing skills",None,None,None
107,Master's,None,Strong communication skills,None,Hands-on experience in lab with ELISA and mammalian cell culture methods,None
108,None,MS 365,Desire for continuous learning and professional development,None,Hands-on experience in multiple display and video platforms and campaign types,None
109,Bachelor's,"Python, Perl, Tcl, shell scripts, LINUX/UNIX",None,None,None,None
110,None,None,Comfort with troubleshooting new software,"English, Japanese",Experience with gaming (playing or translating),3-4 years
111,None,None,Strong verbal and written communication skills,None,None,None
112,None,None,"Strong command of the English language, Excellent phone presence in a support/service capacity, Attention to detail with a high degree of accuracy",English,None,None
113,Bachelor's,"Google Applications (Google Docs, Google Meets, Sheets, and Gmail)","Strong communication skills (written & verbal), Inquisitive individual who is self-motivated to learn more about the derivatives industry",None,Prior work experience or leadership roles in extra-curricular activities,None
114,None,MS suite of products,Strong written and oral communication skills,None,None,None
115,Bachelor's or Master's,"Excel, VBA, SQL, Tableau","Excellent communication skills, both verbal and written",None,None,None
116,Bachelor's,Microsoft Windows and Office products,Willingness to learn new technologies,None,None,None
117,None,None,None,None,None,None
118,None,"Microsoft Office, Google Suite, HubSpot, Canva, Adobe Suite","Strong communication and interpersonal skills, Analytical mindset with the ability to track and measure marketing performance",None,None,None
119,Ph.D. or Master's,None,"Strong passion for AI/ML/NLP research and desire to learn, Strong analytical and problem-solving skills",None,"Prior portfolio of hands-on development work, preferably in the AI/ML space",None
120,Bachelor's or Master's,None,"Advanced verbal and written communication skills, Ability to apply critical thinking skills and innovation to client engagements across various industries",None,None,None
121,Bachelor?€?s or Master?€?s,"Microsoft PowerPoint, Excel","Business acumen, Passion for sustainability, Ability to work 20-40 hours per week",None,None,None
122,BS,"JMP, Tableau, Xcalibur, UNIFI",Excellent experimental design and analysis skills,None,Experience with and understanding analytical chemistry,None
123,Bachelor or Master?€?s,".NET Framework, VB, C#, Java, VBScript, XML - XSLT, SQL Server, Database Design, T-SQL, Stored Procedures",Excellent oral and written communication skills,None,Experience in computer programming,None
124,None,"Excel, SQL","Pasi??n por la problem??tica de Xepelin, Motivaci??n intr??nseca y proactividad",None,None,None
125,BS or BA,None,Strong problem-solving skills,None,Minimum 1 year of experience in product design and development,1 year
126,Undergraduate,None,None,None,None,None
127,Supply Chain or Business Administration,"Excel, Analytical Skills","Communication Skills, Problem Solving",None,2+ years of experience in Purchasing and/or Supply Chain roles,2+ years
128,Bachelor?€?s or Master?€?s,"MS Office, MS Excel","Excellent customer service, Professionalism, Excellent interpersonal skills",None,None,None
129,Undergraduate,"Programming languages, Databases, Code management tools, Angular, API integrations, Java Spring Boot",None,None,"Experience with programming languages, databases, and code management tools",None
130,Computer Science (in process or graduate),"Java, Springboot, MongoDB, UI technologies, AI/ML tools","Structured and self-organized working style, Strong attention to detail and quality",None,Experience with AI/ML tools,None
131,None,Microsoft 365,Excellent customer service and interpersonal skills,None,None,None
132,None,None,None,None,None,None
133,Bachelor?€?s or higher,"Microsoft Office, C++, C#",Excellent communication skills,None,None,None
134,B.A. / B.S.,None,None,None,None,None
135,Undergraduate,Microsoft Office,Strong written and verbal communication,None,Proven track record of achievement in academic and other settings,None
136,Bachelor,MS Office,"Good communication skills, Ability to work in a team environment","English, French",None,None
137,Bachelor?€?s,None,Ability to remain calm under pressure,None,None,None
138,Undergraduate or postgraduate,"X-ray microscopes / Computed Tomography, AI / Machine Learning, Image processing / analysis, Computer vision","Ability to collate and present research results, Self-starter",None,Experience as a user of X-ray microscopes / Computed Tomography,None
139,MBA,None,"Proven ability to work with a team, Agility in changing focus, Excellent business sense, Critical thinking, Problem-solving skills",None,None,None
140,Technical degree,CAD,"Detail oriented, Professional attitude, Ability to follow directions and work with a team",None,None,None
141,None,None,"Ability to work in a fast-paced environment, Flexibility to travel locally, Open availability for full-time training",None,None,None
142,Bachelors,"Microsoft Office, Outlook","Excellent listening, verbal and written communication skills, Prioritization, Initiative, Attention to detail, Ability to work to tight deadlines, Multi-tasking",None,None,None
143,2-year degree,None,"Positive attitude, Desire to work as a team player",None,None,None
144,Bachelor?€?s,None,"Strong organizational skills, Analytical skills, Interpersonal skills, Good oral and written communication skills",None,None,None
145,College or university,"Video Management Systems, Computer Systems","Leadership, Extra-curricular, Volunteering experience, Passion for results",None,Experience with Video Management Systems and Computer Systems,None
146,Undergraduate,"Microsoft Office Suite (Outlook, Word, PowerPoint, Excel)","Relationship-building, Strong interpersonal skills, Solid verbal, written communication skills",None,None,None
147,Undergraduate,None,"Demonstrated commitment to strategy building for social, political, or policy change",None,None,None
148,Post-secondary,"SQL, Data Visualization software(s), Microsoft Office Suite (PowerPoint, Word, Excel)","Excellent communication, presentation, and writing skills, Strong analytical and problem-solving skills, Ability to work independently and manage multiple tasks and priorities",None,None,None
149,PharmD,None,None,None,None,None
150,Bachelor?€?s,"Microsoft Word, Excel","Excellent communication skills, Strong analytical skills, Ability to multitask and adapt while maintaining attention to detail",None,None,None
151,None,None,"Passionate about providing an exceptional shopping experience, Ability to enhance communication skills with patients, employees, and other health care workers, Knowledge of OTC products, disease state management, drug therapy, and patient counseling skills, Skills necessary to manage a retail pharmacy, Preparedness to be successful in a community setting",None,None,None
152,None,"newswriting software, video editing software","Understanding of journalistic integrity, Passion for the field",None,None,None
153,None,None,"Strong interest in working in retail management, Effective communication skills, Leadership skills and team-oriented thinking, Ability to manage workload and prioritize tasks, Welcoming and helpful attitude",None,None,None
154,Bachelor?€?s,"Excel, PowerPoint","Strong analytical abilities, Good communication skills, Ability to develop business analysis and market research skills",None,None,None
155,None,"Microsoft Outlook, Word, PowerPoint, Google Docs, social media trends and social networking tools","Strong creative instincts and high attention to detail, Strong work ethic and communication skills, Avid interest in Entertainment Marketing",None,None,None
156,None,AI tools,"Ability to thrive in fast-paced, high-expectation environments, Demonstrated leadership or high impact in extracurricular activities, projects, or work experience",None,Experience using AI tools to automate workflows or improve efficiencies,None
157,Bachelor?€?s,"Microsoft Office Suite, Excel, PowerPoint, Adobe Photoshop, Canva, iPhoto","Self-motivated, self-disciplined, and able to work with minimal supervision, Data-driven with a passion for analytics",None,None,None
158,Bachelor?€?s,None,"Curiosity, initiative, drive and the ability to quickly learn new technology",None,None,None
159,None,None,"Strong communication skills, Detail-oriented and capable of organizing large-scale events, Interest in program management and recruiting, Interest in blockchain tech / crypto",None,None,None
160,Bachelor?€?s,"ERP systems, spreadsheet, Google Suite, Powerpoint","Good communication skills in both English and French, Good organizational skills and problem-solving abilities","English, French",None,None
161,None,None,"Strong analytical and problem-solving skills, Ability to work in a team environment, Effective communication skills",None,Background in R&D or related field,None
162,Bachelor?€?s/Master?€?s,None,"Ability to effectively manage a demanding workload and multiple priorities, Attention to detail and process management",None,Any exposure to recruiting or corporate work environment highly preferred,None
163,None,Microsoft Office Suite,"Ability to perform basic engineering calculations, Ability to organize information for use in drawings or other documents",None,None,None
164,High School Diploma/GED,"Mac OS, Microsoft Suite, social media platforms","Strong organizational skills, attention to detail, and a collaborative spirit, Strong written and verbal communication skills",None,None,None
165,Bachelor?€?s/Master?€?s,"MicroStation, Civil 3D, AutoCAD, Open Roads Designer",None,None,Experience in the architecture/engineering/construction management industry,None
166,Bachelor?€?s/Master?€?s,None,None,None,None,None
167,None,None,None,Bilingualism,A minimum of 6 months of experience in sales and/or customer service is a definite asset,6 months
168,Master?€?s/PhD,None,"Strong desire to work on multidisciplinary projects, Ability to learn new technologies and skills quickly",None,"Hands-on laboratory work and cell culture, Data analysis and image processing is desired",None
169,Bachelor?€?s,MS office suite,"Strong communication, presentation, and interpersonal skills, Ability to analyze and reason through complex problems",None,None,None
170,Bachelor?€?s,None,"Must be a self-starter, Demonstrate exceptional customer service, Possess excellent communication and organizational skills",None,None,None
171,Bachelor?€?s,None,"Strong communication and presentation skills, as well as analytical and conceptual problem-solving skills, Creative, gets things done, and can imagine and communicate how things could be better",None,"Familiarity and interest in business process and policies - knowledge of information security management systems preferred, but not required",None
172,Bachelor?€?s,None,"Detail-oriented and curious thinker with a desire to understand how things work, Visionary with the ability to identify how individual elements can fit together to create powerful outcomes, Strong storytelling and communication skills to inspire and engage audiences",None,At least one previous internship or Co-op experience,None
173,Master?€?s/PhD,"Python, PyTorch, JAX, TensorFlow, C++",None,None,"Experience with deep learning concepts and reinforcement learning, Experience in the autonomous driving domain, including areas like motion planning, perception, or control",None
174,None,"Microsoft Word, Office, Excel",None,None,None,None
175,None,None,"Ability to pass a background check, Mathematical skills sufficient to perform basic calculations",None,None,None
176,Bachelor?€?s/Master?€?s,None,"Ability to think critically and reason from first principles, Interest in biochemistry and the drug development process",None,Familiarity with deep learning literature,None
177,Bachelor?€?s,None,Strong written and verbal communication skills,None,Previous applicable internship or co-op experience preferred,None
178,Bachelor?€?s,"AWS, Azure","Excellent communication skills, Understanding of solution design principles",None,None,None
179,Bachelor?€?s,None,"Strong communication, research, and organizational skills, Ability to build relationships and work collaboratively across teams internally and externally, Problem solver with a proactive and results-oriented mindset",None,"Interest in partnerships, business development, and the data analytics industry a plus",None
180,Bachelor?€?s,Microsoft Excel,Strong technical aptitude,None,None,None
181,PharmD,None,"Strong verbal, non-verbal and written communication skills",None,0-3 years prior relevant work experience,0-3 years
182,"Master?€?s, PhD",None,"Detail-oriented, analytical, and highly organized, Excellent communication skills, Proactive attitude and eagerness to learn",None,None,None
183,"Master?€?s, PhD",Machine learning fundamentals and tool ecosystem,"Excellent communication, writing and presentation skills",None,Experience in academic or industrial research in machine learning,None
184,Bachelor?€?s,"Microsoft Office Suite (Word, Excel, PowerPoint)","Strong research and analytical skills, Excellent written and verbal communication skills, Demonstrated interest in and understanding of inclusion principles",None,None,None
185,Master?€?s,"C++, Python, ROS, Gazebo, RVIZ, PCL, Pytorch CUDA, OpenCL & OpenGL",None,None,Proven experience in designing and implementing path planning and search algorithms,None
186,"Bachelor?€?s, Master?€?s",Microsoft Office Suite,"Strong communication skills and interpersonal skills, Self-motivated with a strong work ethic",None,Interest in sales and a willingness to learn the heavy equipment industry and products,None
187,"Bachelor?€?s, Master?€?s","Phaser, Game Maker, Unity, C#, Adobe Creative Cloud suite, Blender",Ability to execute creative ideas into practical solutions,None,"Experience with at least one game development engine, Experience with game code development and/or C#, Experience with the Adobe Creative Cloud suite and/or Blender",None
188,Bachelor?€?s,"MS 365 (Word, Excel, SharePoint), HTML, CMS systems (Contentful, Bloomreach)",Excellent written and verbal communication abilities,English,None,None
189,None,"Microsoft Office (PowerPoint, Excel, Word)","Organized and methodical with strong attention to detail, Comfortable collaborating with and presenting to executives, Demonstrated ability to be adaptive and inquisitive",None,None,None
190,"Bachelor?€?s, Master?€?s, PhD","Python, C++",Open-minded and collaborative team player,None,Demonstrated research/software engineering experience,None
191,Bachelor?€?s,None,"Strong analytical skills and a passion for problem solving, Excellent verbal and written communications skills",None,None,None
192,Master?€?s,"Microsoft Excel, Tableau","Strong communication and writing skills, Ability to work effectively with others and meet deadlines, High degree of proficiency in conducting research, analytical thinking and attention to detail",None,None,None
193,"Bachelor?€?s, Master?€?s",GIS,"Strong research skills, including desktop research and field surveys",None,Experience with data collection and analysis,None
194,"Bachelor?€?s, Master?€?s","Microsoft Office (Project, Access, Excel, PowerPoint, Power BI, Tableau)","Advanced verbal and written communication skills, Ability to apply critical thinking skills and innovation",None,None,None
195,"Bachelor?€?s, Master?€?s","Microsoft Office (Excel, Word, PowerPoint), GIS Mapping software (ArcMap, ArcGIS Pro, ArcGIS Online), Adobe Creative Suite (Illustrator, InDesign)",Exceptional organizational and time management skills,None,"Experience with Microsoft Office, Experience using GIS Mapping software, Experience using Adobe Creative Suite",None
196,"Master?€?s, PhD","SQL, R, Python, statistical methods",Enthusiasm for learning and sharing analytical methods,None,Previous experience analyzing large datasets,None
197,"Bachelor?€?s, Master?€?s",None,None,None,"Prior internship or hands-on project experience in aerospace, defense, or related high-tech industries, Hands on manufacturing or prototyping experience, Experience with installing instrumentation and setting up or using data acquisition systems, Experience in a leadership role on at least one project",None
198,None,"Python, Linux",None,None,"Experience writing Python scripts for automation, Hands-on experience with testing equipment, Experience working in a Linux environment",None
199,PhD,"TensorFlow, Keras",None,None,Hands-on experience with machine and deep learning algorithms and models,None
200,Bachelor?€?s,None,"Curiosity and passion for the markets, Dedication to learning and personal growth, Analytical and quantitative ability, Exceptional written and verbal communication skills",None,None,None
201,None,Microsoft Office products,Strong verbal/written communication and interpersonal skills,None,None,None
202,"Bachelor?€?s, Master?€?s","Excel, HEC-RAS, HEC-HMS, AutoCAD, GIS",None,None,"Experience with Excel, HEC-RAS, HEC-HMS, AutoCAD, or GIS",None
203,"Bachelor?€?s, Master?€?s",None,"Excellent communication and presentation skills, Strong organizational skills, Willingness to learn and grow",None,Experience or interest in video editing and digital asset management,None
204,Bachelor?€?s,"Microsoft Office Tools (Excel, Word, PowerPoint, Outlook), SolidWorks","Strong analytical and problem-solving skills with a keen attention to detail, Ability to work independently and as part of a team",None,None,None
205,"Bachelor?€?s, Master?€?s","Revit, Enscape, Bluebeam, Microsoft Office, Adobe Creative Suite",None,None,None,None
